magnitude,style,percentile,mu,sigma,avg_displ
5.0,reverse,0.5,-0.5971999999999997,0.17,0.25281334798341143
5.1,reverse,0.5,-0.5647599999999999,0.17,0.2724206344243189
5.199999999999999,reverse,0.5,-0.5323199999999999,0.17,0.29354859089567525
5.299999999999999,reverse,0.5,-0.4998800000000001,0.17,0.31631515505032554
5.399999999999999,reverse,0.5,-0.4674400000000001,0.17,0.3408474113577686
5.499999999999998,reverse,0.5,-0.4350000000000003,0.17,0.3672823004980844
5.599999999999998,reverse,0.5,-0.4025600000000005,0.17,0.3957673837738849
5.6999999999999975,reverse,0.5,-0.37012000000000045,0.17,0.4264616668072804
5.799999999999997,reverse,0.5,-0.33768000000000065,0.17,0.4595364871197975
5.899999999999997,reverse,0.5,-0.30524000000000084,0.17,0.4951764705497763
5.9999999999999964,reverse,0.5,-0.2728000000000008,0.17,0.5335805618460324
6.099999999999996,reverse,0.5,-0.24036000000000102,0.17,0.5749631351906248
6.199999999999996,reverse,0.5,-0.207920000000001,0.17,0.6195551908497452
6.299999999999995,reverse,0.5,-0.1754800000000012,0.17,0.6676056446325065
6.399999999999995,reverse,0.5,-0.1430400000000014,0.17,0.7193827173554828
6.499999999999995,reverse,0.5,-0.11060000000000159,0.17,0.7751754320690779
6.599999999999994,reverse,0.5,-0.07816000000000134,0.17,0.835295227403342
6.699999999999994,reverse,0.5,-0.04572000000000154,0.17,0.9000776960390365
6.799999999999994,reverse,0.5,-0.013280000000001735,0.17,0.9698844580082163
6.899999999999993,reverse,0.5,0.019159999999998067,0.17,1.0451051792812054
6.999999999999993,reverse,0.5,0.05159999999999787,0.17,1.1261597469078604
7.0999999999999925,reverse,0.5,0.08403999999999812,0.17,1.2135006128549046
7.199999999999992,reverse,0.5,0.11647999999999792,0.17,1.307615319622777
7.299999999999992,reverse,0.5,0.14891999999999772,0.17,1.4090292217401796
7.3999999999999915,reverse,0.5,0.18135999999999752,0.17,1.518308418327859
7.499999999999991,reverse,0.5,0.21379999999999733,0.17,1.6360629131014057
7.599999999999991,reverse,0.5,0.24623999999999713,0.17,1.7629500194524106
7.69999999999999,reverse,0.5,0.2786799999999974,0.17,1.8996780296153684
7.79999999999999,reverse,0.5,0.3111199999999972,0.17,2.0470101684018505
7.89999999999999,reverse,0.5,0.343559999999997,0.17,2.205768853571982
7.999999999999989,reverse,0.5,0.3759999999999968,0.17,2.376840286624859
8.099999999999989,reverse,0.5,0.4084399999999966,0.17,2.561179399634035
8.199999999999989,reverse,0.5,0.44087999999999683,0.17,2.7598151857416244
8.299999999999988,reverse,0.5,0.47331999999999663,0.17,2.97385644306619
8.399999999999988,reverse,0.5,0.5057599999999964,0.17,3.204497964087315
8.499999999999988,reverse,0.5,0.5381999999999962,0.17,3.4530272050563773
