magnitude,style,model_name,avg_displ
5.0,elliptical,strike-slip,0.032800156361861316
5.1,elliptical,strike-slip,0.03924026086098995
5.199999999999999,elliptical,strike-slip,0.046944839391953444
5.299999999999999,elliptical,strike-slip,0.05616216348161937
5.399999999999999,elliptical,strike-slip,0.06718925121036368
5.499999999999998,elliptical,strike-slip,0.08038143829140086
5.599999999999998,elliptical,strike-slip,0.09616382837137014
5.6999999999999975,elliptical,strike-slip,0.11504499152545813
5.799999999999997,elliptical,strike-slip,0.13763335236592072
5.899999999999997,elliptical,strike-slip,0.16465679585268903
5.9999999999999964,elliptical,strike-slip,0.19698612258163126
6.099999999999996,elliptical,strike-slip,0.23566310937121157
6.199999999999996,elliptical,strike-slip,0.28193407936893083
6.299999999999995,elliptical,strike-slip,0.33729006343712703
6.399999999999995,elliptical,strike-slip,0.4035148469743953
6.499999999999995,elliptical,strike-slip,0.4827424504283432
6.599999999999994,elliptical,strike-slip,0.5775258957456609
6.699999999999994,elliptical,strike-slip,0.6909194746823637
6.799999999999994,elliptical,strike-slip,0.8265771699795512
6.899999999999993,elliptical,strike-slip,0.988870400918292
6.999999999999993,elliptical,strike-slip,1.1830288874739836
7.0999999999999925,elliptical,strike-slip,1.41530917226187
7.199999999999992,elliptical,strike-slip,1.6931962307071136
7.299999999999992,elliptical,strike-slip,2.025644666104324
7.3999999999999915,elliptical,strike-slip,2.4233672618106956
7.499999999999991,elliptical,strike-slip,2.8991801888482933
7.599999999999991,elliptical,strike-slip,3.4684159928488003
7.69999999999999,elliptical,strike-slip,4.149417668388617
7.79999999999999,elliptical,strike-slip,4.964129741713529
7.89999999999999,elliptical,strike-slip,5.938805408840545
7.999999999999989,elliptical,strike-slip,7.104852515780402
8.099999999999989,elliptical,strike-slip,8.499845641658485
8.199999999999989,elliptical,strike-slip,10.168736897993885
8.299999999999988,elliptical,strike-slip,12.165304460805023
8.399999999999988,elliptical,strike-slip,14.553885512887975
8.499999999999988,elliptical,strike-slip,17.411449438416593
